,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
679,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2017-08-18 00:00:00,2017-08-18 19:30:00,31.08.2018 с пролонгацией,T+,,,,,PLZL,shares,stock,TQBR
680,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-09-04 00:00:00,2017-09-04 19:30:00,,,PLZL,shares,stock,TQBR
681,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-09-04 00:00:00,2017-09-05 19:30:00,,,PLZL,shares,stock,TQBR
682,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,2017-09-04 00:00:00,2017-09-04 19:30:00,,,PLZL,shares,stock,TQBR
683,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-09-04 00:00:00,2017-09-05 19:30:00,,,PLZL,shares,stock,TQBR
684,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-09-04 00:00:00,2017-09-05 19:30:00,,,PLZL,shares,stock,TQBR
685,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,2017-09-04 00:00:00,2017-09-05 19:30:00,,,PLZL,shares,stock,TQBR
686,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,PLZL,shares,stock,TQBR
687,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,PLZL,shares,stock,TQBR
688,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,2017-12-11 00:00:00,2017-12-11 19:30:00,,,PLZL,shares,stock,TQBR
689,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Полюс""",1-01-55192-E,акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,PLZL,shares,stock,TQBR
